24115|9482|-1
7385|42|0
7631|9722|1
9560|18353|0
132692|133187|-1
9560|4770|0
38883|9652|0
45177|133187|-1
4768|9834|-1
24115|9790|-1
45896|38018|0
58511|9443|0
18400|9439|0
4739|9560|0
9560|18119|0
45896|4610|0
7631|18398|1
9560|18199|0
1798|9500|1
6939|1239|0
36351|9381|1
56030|23838|1
4657|4648|-1
30071|3356|1
33437|6939|1
4635|4515|0
9560|37974|0
8492|10026|1
2764|45177|-1
38477|133187|-1
58933|58779|1
9560|55561|0
45896|11799|-1
9560|38881|0
9560|132918|0
2914|6939|1
24324|45267|-1
38456|4648|1
45177|17705|-1
24482|35662|0
4739|133188|-1
30071|6453|1
9560|45280|0
24324|18378|-1
4635|6939|0
132040|133396|-1
9560|45181|0
24115|9583|-1
9560|9433|0
38883|7545|1
2044|3491|1
24115|4648|-1
45896|42|0
38880|9500|0
45177|45179|-1
45896|22822|1
4826|59266|-1
9560|18015|0
45177|4610|0
9560|133075|0
45896|45177|1
45896|9500|0
9560|4830|0
9503|133370|-1
9560|17705|0
3356|6939|0
5645|9327|-1
4635|4637|0
9560|17412|0
6939|45633|-1
9266|24115|1
4770|9560|0
9560|58600|0
9560|24226|0
24115|17498|-1
38726|4635|0
9560|9872|0
9560|24005|0
6939|38018|-1
9560|24130|0
9560|38451|0
18400|131318|-1
3257|45177|1
24115|42|0
9560|9834|0
24115|45177|-1
38883|45177|0
38883|4610|0
7385|4323|1
9560|23655|0
55934|4770|0
7606|4826|1
16150|15412|1
24115|4610|-1
45177|133396|-1
37100|35662|0
9560|9898|0
9560|24324|0
45177|55561|-1
7385|11799|-1
36351|4635|0
9503|133455|-1
20225|9583|-1
7575|9722|1
9498|9500|-1
9560|132692|0
19401|38018|1
58511|4648|1
9560|4826|0
18398|7604|-1
23655|133366|0
38883|42|0
9560|58666|0
38880|11799|0
9560|24466|0
9560|55785|0
38880|18398|0
4635|4826|0
38880|4610|0
38883|7604|0
58511|7604|0
9790|58600|-1
9560|132347|0
4635|3491|0
30071|2914|1
9722|7545|1
9560|9790|0
4323|4648|-1
56030|56216|-1
4826|4635|0
9560|132304|0
10026|11799|-1
4768|9889|-1
7474|133188|-1
23838|58631|-1
4635|10026|0
24130|9560|0
6453|4648|-1
4739|4635|0
38809|7606|-1
7738|174|1
7606|4739|1
45177|23655|0
45177|9482|0
38883|9790|0
1798|10026|1
18015|132881|-1
38883|9482|0
45177|11799|-1
10026|4635|0
36236|4635|0
7606|45177|1
7606|9652|-1
10102|9583|1
9560|2687|0
4826|9560|0
58511|42|0
9560|38477|0
15589|9583|1
197264|9583|1
9560|55872|0
1798|38018|0
38809|24115|0
30071|45177|1
6939|132917|-1
45177|9503|0
58511|23655|0
7606|9790|-1
9560|23838|0
4826|133186|-1
54073|6939|1
2518|4635|0
30071|1239|1
17746|133186|-1
9560|18400|0
33437|2914|1
9560|9559|0
24482|9583|0
48526|10026|1
18398|55785|-1
38220|18398|0
23655|9560|0
38883|9443|0
4739|7606|-1
9560|45179|0
24115|23655|-1
9439|18353|0
37100|9583|0
45177|133404|-1
7660|4635|0
9560|45950|0
45177|133399|-1
9889|132125|-1
30071|6939|1
37100|42|0
1798|45177|1
4739|24115|-1
9560|17492|0
58942|23655|1
9560|132352|0
9355|4739|1
11670|5645|0
9722|9652|-1
24115|4826|0
9560|9889|0
9560|24074|0
24482|42|0
45177|4768|-1
45177|9560|0
45896|7545|1
38880|9722|0
45177|17746|-1
18398|9503|0
38880|42|0
9560|9303|0
9498|4610|-1
9560|17746|0
38726|2687|1
4739|18398|-1
10026|9500|-1
4826|24115|0
4635|2687|0
4635|6453|0
9722|9482|-1
9560|17435|0
1798|11799|1
9790|9560|0
9722|24130|1
23655|133188|0
7385|3491|1
10026|38018|-1
38883|23958|-1
9560|9896|0
4648|132870|-1
1798|4610|1
7660|9355|-1
7575|24115|1
9560|24183|0
9560|24398|0
11666|2914|1
37100|4788|0
24115|10026|0
9560|45177|0
4436|45177|-1
9560|9503|0
48526|9583|1
262757|6939|1
2500|6939|1
9498|38018|-1
9560|132240|0
9560|38022|0
4635|9381|0
38883|23655|0
4755|133366|-1
9560|37999|0
38880|45177|0
8426|3257|1
23838|9560|0
9560|38064|0
38880|38018|-1
9560|17649|0
9889|45280|-1
38880|23655|0
58779|4635|0
9560|9500|0
4768|18353|-1
1798|7545|1
24115|9443|-1
9560|10022|0
9560|45946|0
9503|133154|-1
22873|11670|0
4826|7606|-1
1239|6939|1
38880|10026|1
3257|6939|1
18398|2687|0
45896|10026|1
4770|9439|0
9560|132450|0
6774|42|0
48526|35662|1
9560|45459|0
18398|24130|1
28294|16735|1
55561|133459|-1
38883|4648|0
9439|132003|0
33437|3257|1
9560|132040|0
4648|133124|1
9503|9560|0
9002|4635|0
58511|9790|0
58511|4610|0
7606|9482|1
45177|9443|0
9560|9245|0
38809|18398|0
9498|45177|-1
58511|9482|0
45177|38018|0
1798|42|1
